text,intent,domain
assistance with canceling oreder {{Order Number}},cancel_order,social
problems with cancelling purchase {{Order Number}},cancel_order,social
is it possible to cancel purchase {{Order Number}},cancel_order,social
I need assistance cancelling purchase {{Order Number}},cancel_order,social
i do not know how to cancel order {{Order Number}},cancel_order,social
I no longer want purchase {{Order Number}},cancel_order,social
can you help me cancelling purchase {{Order Number}}?,cancel_order,social
assistance cancelling purchase {{Order Number}},cancel_order,social
I need help cancelling purchase {{Order Number}},cancel_order,social
I don't want purchase {{Order Number}},cancel_order,social
"I bought some items, I need help to cancel purchase {{Order Number}}",cancel_order,social
could you help me cancel purchase {{Order Number}}?,cancel_order,social
cancel purchase {{Order Number}},cancel_order,social
problem with cancelling purchase {{Order Number}},cancel_order,social
cancel purchase {{Order Number}},cancel_order,social
where do i cancel purchase {{Order Number}},cancel_order,social
need help with cancelliing order {{Order Number}},cancel_order,social
I have problems with canceling purchase {{Order Number}},cancel_order,social
is it possible to cancel order {{Order Number}}?,cancel_order,social
i havegot to cancel purchase {{Order Number}},cancel_order,social
"I cannot pay for this product, cancel order {{Order Number}}",cancel_order,social
I don't know how I can cancel purchase {{Order Number}},cancel_order,social
help cancelling purchase {{Order Number}},cancel_order,social
would you give me information about cancelling orders?,cancel_order,social
I need assistance with canceling purchase {{Order Number}},cancel_order,social
canceling purchase {{Order Number}},cancel_order,social
"I can't afford my last item, cancel purchase {{Order Number}}",cancel_order,social
I cannot afford order {{Order Number}},cancel_order,social
have problems with canceling purchase {{Order Number}},cancel_order,social
I have a problem with canceling purchase {{Order Number}},cancel_order,social
question about canceling purchase {{Order Number}},cancel_order,social
I have got to cancel purchase {{Order Number}},cancel_order,social
"I can't afford order {{Order Number}}, could I cancel it?",cancel_order,social
i dont know how to cancel purchase {{Order Number}},cancel_order,social
"I don't want this item, help me cancel purchase {{Order Number}}",cancel_order,social
i need assistance with canceling order {{Order Number}},cancel_order,social
have a problem with cancelling purchase {{Order Number}},cancel_order,social
"I can't afford this product, cancel order {{Order Number}}",cancel_order,social
cancel purchase  {{Order Number}},cancel_order,social
could you help me canceling purchase {{Order Number}}?,cancel_order,social
i try to cancel order {{Order Number}},cancel_order,social
can you help me cancelling order {{Order Number}}?,cancel_order,social
what do I ned to do to cancel order {{Order Number}}?,cancel_order,social
i need help to cancel purchase {{Order Number}},cancel_order,social
"I have bought some items, help canceling purchase {{Order Number}}",cancel_order,social
I need assistance canceling order {{Order Number}},cancel_order,social
I can't afford purchase {{Order Number}},cancel_order,social
assistance with canceling purchase {{Order Number}},cancel_order,social
canmcel order {{Order Number}},cancel_order,social
help with canceling purchase {{Order Number}},cancel_order,social
I need help to cancel purchase {{Order Number}},cancel_order,social
i can no longer afford order {{Order Number}},cancel_order,social
I can no longer pay for order {{Order Number}},cancel_order,social
i have problems with canceling order {{Order Number}},cancel_order,social
I have problems with cancelling order {{Order Number}},cancel_order,social
"I purchased some item, help canceling one of the orders",cancel_order,social
I need helpto cancel order {{Order Number}},cancel_order,social
camceling order {{Order Number}},cancel_order,social
i purchased some fucking item cancel order {{Order Number}},cancel_order,social
want assistance to cancel pyrchase {{Order Number}},cancel_order,social
i need assistance to cancel order {{Order Number}},cancel_order,social
i need help with canceling order {{Order Number}},cancel_order,social
cancelling order {{Order Number}},cancel_order,social
"I have ordered some item, cancel purchase {{Order Number}}",cancel_order,social
i can no longer pay for purchase {{Order Number}},cancel_order,social
I need assistance canceling purchase {{Order Number}},cancel_order,social
"I do not want this item, cancel order {{Order Number}}",cancel_order,social
i need assistance cancelling purchase {{Order Number}},cancel_order,social
ened help with cancelling purchase {{Order Number}},cancel_order,social
I need assistance cancelling order {{Order Number}},cancel_order,social
can ya help me cancel purchase {{Order Number}},cancel_order,social
want assistance cancelling purchase {{Order Number}},cancel_order,social
need help with canceling order {{Order Number}},cancel_order,social
I can no longer pay for purchase {{Order Number}},cancel_order,social
want assistance canceling order {{Order Number}},cancel_order,social
is it possible to cancel purchase {{Order Number}}?,cancel_order,social
cance order {{Order Number}},cancel_order,social
assistance canceling purchase {{Order Number}},cancel_order,social
what do I need to do to cancel purchase {{Order Number}}?,cancel_order,social
I want help cancelling purchase {{Order Number}},cancel_order,social
i have a problem with cancelling order {{Order Number}},cancel_order,social
i cant pay for order {{Order Number}},cancel_order,social
can you help me cancelling order {{Order Number}}?,cancel_order,social
I need help to cancel purchase {{Order Number}},cancel_order,social
I have a problem with cancelling purchase {{Order Number}},cancel_order,social
canceling purechase {{Order Number}},cancel_order,social
I need help cancelling order {{Order Number}},cancel_order,social
I dp not know how to cancel order {{Order Number}},cancel_order,social
what do I need to do to cancel order {{Order Number}}?,cancel_order,social
i dont know what to do to cancel order {{Order Number}},cancel_order,social
cancel order {{Order Number}},cancel_order,social
is it possible to cancel purchase {{Order Number}},cancel_order,social
I am trying to cancel order {{Order Number}},cancel_order,social
I need help with cancellng order {{Order Number}},cancel_order,social
help canceling purchase {{Order Number}},cancel_order,social
I want help cancelling purchase {{Order Number}},cancel_order,social
I want help cancellkng purchase {{Order Number}},cancel_order,social
"I can't afford order {{Order Number}}, help me cancelling it",cancel_order,social
I need assistance to cancel order {{Order Number}},cancel_order,social
I have a problem with cancelling order {{Order Number}},cancel_order,social
assistance canceling the last order,cancel_order,social
assistance to cancel order {{Order Number}},cancel_order,social
"I don't want this product, cancel purchase {{Order Number}}",cancel_order,social
assistance cancelling purchase {{Order Number}},cancel_order,social
I cannot afford order {{Order Number}},cancel_order,social
problems with cancelling order {{Order Number}},cancel_order,social
need help canceling purchase {{Order Number}},cancel_order,social
i can no longer afford purchase {{Order Number}},cancel_order,social
I need help with canceling purchase {{Order Number}},cancel_order,social
how could I cancel purchase {{Order Number}}?,cancel_order,social
i want help canceling purchase {{Order Number}},cancel_order,social
asistance cancelling purchase {{Order Number}},cancel_order,social
I need assistance to cancel order {{Order Number}},cancel_order,social
i need help cancelling purchase {{Order Number}},cancel_order,social
I do not know what to do tro cancel order {{Order Number}},cancel_order,social
I need assistance canceling purchase {{Order Number}},cancel_order,social
cancelling purchase {{Order Number}},cancel_order,social
want help cancelling purchase {{Order Number}},cancel_order,social
help with canceling purchase {{Order Number}},cancel_order,social
I don't know how I colud cancel order {{Order Number}},cancel_order,social
where can i cancel purchase {{Order Number}},cancel_order,social
help me cancel purchase {{Order Number}},cancel_order,social
can you help me cancelong purchase {{Order Number}}?,cancel_order,social
i dont know what to do to cancel purchase {{Order Number}},cancel_order,social
i have problems with canceling order {{Order Number}},cancel_order,social
I want to cancel order {{Order Number}},cancel_order,social
"I can't afford order {{Order Number}}, could you cancel it?",cancel_order,social
i want assistance cancelling order {{Order Number}},cancel_order,social
i want help to cancel order {{Order Number}},cancel_order,social
what do I need to do to cancel purchase {{Order Number}}?,cancel_order,social
i want help cancelling order {{Order Number}},cancel_order,social
I do not know how to cancel purchase {{Order Number}},cancel_order,social
"I cannot afford my last item, how can I cancel the order?",cancel_order,social
"I don't want this item, cancel order {{Order Number}}",cancel_order,social
I no longer want order {{Order Number}},cancel_order,social
can you help me to cancel order {{Order Number}}?,cancel_order,social
cancelling order {{Order Number}},cancel_order,social
"I do not want this item, I try to cancel order {{Order Number}}",cancel_order,social
what do I have to do to cancel order {{Order Number}}?,cancel_order,social
I can no longer afford order {{Order Number}},cancel_order,social
I need help canceling order {{Order Number}},cancel_order,social
I have problems with canceling purchase {{Order Number}},cancel_order,social
i want help canceling order {{Order Number}},cancel_order,social
help with canceling purchase {{Order Number}},cancel_order,social
I don't know how to cancel purchase {{Order Number}},cancel_order,social
"I do not want my last bloody item, cancel order {{Order Number}}",cancel_order,social
can ya help me to cancel order {{Order Number}},cancel_order,social
i dont want order {{Order Number}},cancel_order,social
could you help me to cancel purchase {{Order Number}}?,cancel_order,social
have problems wth cancelling order {{Order Number}},cancel_order,social
I need help with cancelling purchase {{Order Number}},cancel_order,social
i dont want this artilce cancel order {{Order Number}},cancel_order,social
I cannot afford order {{Order Number}},cancel_order,social
need help with canceling purchase {{Order Number}},cancel_order,social
I try to cancel purchase {{Order Number}},cancel_order,social
"I bought some article, help canceling order {{Order Number}}",cancel_order,social
can you help me cancelling oredr {{Order Number}}?,cancel_order,social
help  with cancelling order {{Order Number}},cancel_order,social
assistance to cancel purchase {{Order Number}},cancel_order,social
help to cancel purchase {{Order Number}},cancel_order,social
can you help me cancelling order {{Order Number}}?,cancel_order,social
i dont want purchase {{Order Number}},cancel_order,social
canmcel order {{Order Number}},cancel_order,social
help cancelling my bloody purchase,cancel_order,social
assistance cancelling purchase {{Order Number}},cancel_order,social
can you help me to cancel order {{Order Number}} ?,cancel_order,social
I need assistance with canceling purchase {{Order Number}},cancel_order,social
is it possible to cancel purchase {{Order Number}},cancel_order,social
canceling order,cancel_order,social
problems with cancelling order {{Order Number}},cancel_order,social
what do I have to do to cancel purchase {{Order Number}}?,cancel_order,social
I need assistance canceling purchase {{Order Number}},cancel_order,social
I want help cancelling purchase {{Order Number}},cancel_order,social
i want help canceling order {{Order Number}},cancel_order,social
I want assistance to cancle purchase {{Order Number}},cancel_order,social
i do not know how to cancel purchasw {{Order Number}},cancel_order,social
question about cancelling purchase {{Order Number}},cancel_order,social
help me cancel purchase {{Order Number}},cancel_order,social
i dont want purchase {{Order Number}} could i cancel it,cancel_order,social
i obught some item help me canceling order {{Order Number}},cancel_order,social
I'm trying to cancel purchase {{Order Number}},cancel_order,social
problems with canceling purchase {{Order Number}},cancel_order,social
cancelling order {{Order Number}},cancel_order,social
canceling purchase {{Order Number}},cancel_order,social
i dont khow how to cancel order {{Order Number}},cancel_order,social
I need assistance cancelling order {{Order Number}},cancel_order,social
how can I cancel purchase {{Order Number}}?,cancel_order,social
I can no longer afford purchase {{Order Number}},cancel_order,social
I want help to cancle purchase {{Order Number}},cancel_order,social
I can't afford order {{Order Number}},cancel_order,social
canmcel order {{Order Number}},cancel_order,social
help me canceling purchase {{Order Number}},cancel_order,social
I try to cancel purchase {{Order Number}},cancel_order,social
I don't want purchase {{Order Number}},cancel_order,social
I need help with cancelling purchase {{Order Number}},cancel_order,social
I have got to cancel purcahse {{Order Number}},cancel_order,social
help me to cancel purchase {{Order Number}},cancel_order,social
I need help cancelling oredr {{Order Number}},cancel_order,social
help me canceling purchase {{Order Number}},cancel_order,social
i want help canceling order {{Order Number}},cancel_order,social
I need help to cancel order {{Order Number}},cancel_order,social
I want assistance to cancel purchase {{Order Number}},cancel_order,social
I don't know how I can cancel purchase {{Order Number}},cancel_order,social
cance order {{Order Number}},cancel_order,social
problems with cancelling purchase {{Order Number}},cancel_order,social
need assistance to cancel order {{Order Number}},cancel_order,social
I no longerr want purchase {{Order Number}},cancel_order,social
I need assistance canceling order {{Order Number}},cancel_order,social
i have to cancel purchase {{Order Number}},cancel_order,social
i dont want order {{Order Number}},cancel_order,social
I need help canceling purchase {{Order Number}},cancel_order,social
i do not know how i can cancel order {{Order Number}},cancel_order,social
canceling purchase {{Order Number}},cancel_order,social
I want assistance canceling purchase {{Order Number}},cancel_order,social
assistance with cancelling purchase {{Order Number}},cancel_order,social
problem witth cancelling order {{Order Number}},cancel_order,social
I want assistance to cancel purchase {{Order Number}},cancel_order,social
"I bought some items, help canceling order {{Order Number}}",cancel_order,social
I need assistance with cancelling order {{Order Number}},cancel_order,social
I need assistance cancelling purcjase {{Order Number}},cancel_order,social
i dont want order {{Order Number}},cancel_order,social
I can no longer afford purchase {{Order Number}},cancel_order,social
what do i need to do to cancel order {{Order Number}},cancel_order,social
I need assistance canceling purchase {{Order Number}},cancel_order,social
i need assistance with canceling order {{Order Number}},cancel_order,social
I can't pay for purchase {{Order Number}},cancel_order,social
I do not want purchase {{Order Number}},cancel_order,social
cancel purchase732201349959,cancel_order,social
I do not know how I can cancel purchase {{Order Number}},cancel_order,social
need help with canceling purchase {{Order Number}},cancel_order,social
I can no longer pay for purchase {{Order Number}},cancel_order,social
I need help to cancel purchase370795561790,cancel_order,social
I do not know how I can cancel purchase {{Order Number}},cancel_order,social
I need help canceling purchase {{Order Number}},cancel_order,social
what do I need to do to cancel purchase {{Order Number}}?,cancel_order,social
want assistance cancelling order {{Order Number}},cancel_order,social
want help cancelling purchase {{Order Number}},cancel_order,social
help to cancel purchase {{Order Number}},cancel_order,social
"I can't pay for purchase {{Order Number}}, how can I cancel it?",cancel_order,social
want assistance canceling purchase {{Order Number}},cancel_order,social
I don't know how to cancel purchase {{Order Number}},cancel_order,social
i dont want ordr {{Order Number}} could uhelp me cancel it,cancel_order,social
"I cannot afford order {{Order Number}}, I need help canceling it",cancel_order,social
want assistance canceling purchase {{Order Number}},cancel_order,social
i do not know how to cancel order {{Order Number}},cancel_order,social
I want help canceling order {{Order Number}},cancel_order,social
where can I cancel purchase {{Order Number}}?,cancel_order,social
I need help cancelling purchase {{Order Number}},cancel_order,social
I need assistance to cancel purchase {{Order Number}},cancel_order,social
can you help me cancel purchase {{Order Number}}?,cancel_order,social
I'm trying to cancel order {{Order Number}},cancel_order,social
i dont know what to do to cancel purchase {{Order Number}},cancel_order,social
I need help cancelling purchase {{Order Number}},cancel_order,social
i can no longer pay fororder {{Order Number}} cancel it,cancel_order,social
I don't knowhow to cancel purchase {{Order Number}},cancel_order,social
I do not know how I could cancel purchase {{Order Number}},cancel_order,social
i do not know how i can cancel order {{Order Number}},cancel_order,social
I don't know what to do to cancel purchase {{Order Number}},cancel_order,social
cance order {{Order Number}},cancel_order,social
where can I cancel purchase {{Order Number}}?,cancel_order,social
assistance with cancelling purchase {{Order Number}},cancel_order,social
i want assistance to cancel order {{Order Number}},cancel_order,social
I want assistance cancelling order {{Order Number}},cancel_order,social
i dont khow how to cancel order {{Order Number}},cancel_order,social
i need assistance to cancel order {{Order Number}},cancel_order,social
problems with canceling purchase {{Order Number}},cancel_order,social
canceling order {{Order Number}},cancel_order,social
"I can't pay for this item, cancel order {{Order Number}}",cancel_order,social
camceling order {{Order Number}},cancel_order,social
question about canceling order {{Order Number}},cancel_order,social
help me cancel purchase {{Order Number}},cancel_order,social
want assistance cancelling order {{Order Number}},cancel_order,social
want asistance canceling order {{Order Number}},cancel_order,social
i need assiostance cancelling order {{Order Number}},cancel_order,social
cancelling purchase {{Order Number}},cancel_order,social
I am trying to cancel purchaes {{Order Number}},cancel_order,social
i need help canceling order {{Order Number}},cancel_order,social
what do I need to do to cancel purchase {{Order Number}}?,cancel_order,social
help with cancelling purchase {{Order Number}},cancel_order,social
"I bought some item, cancel order {{Order Number}}",cancel_order,social
I need help with canceling purchase {{Order Number}},cancel_order,social
could you help me cancel purchase {{Order Number}}?,cancel_order,social
what do i need to do to cancel order {{Order Number}},cancel_order,social
canceling purchase {{Order Number}},cancel_order,social
I do not know how I can cancel purchase {{Order Number}},cancel_order,social
I have problems with cancelling purchase {{Order Number}},cancel_order,social
ohw to cancel order {{Order Number}},cancel_order,social
is it possible to cxancel order {{Order Number}},cancel_order,social
i have problems with cancelling purchase {{Order Number}},cancel_order,social
where do I cancel purchase {{Order Number}}?,cancel_order,social
I have an question about cancelling order {{Order Number}},cancel_order,social
I would like to cancel purchase {{Order Number}},cancel_order,social
assistance canceling purchase {{Order Number}},cancel_order,social
I want help to cancel purchase {{Order Number}},cancel_order,social
I am trying to cancel purchase {{Order Number}},cancel_order,social
cancelling purchase {{Order Number}},cancel_order,social
can you help me cancelling purchase {{Order Number}}?,cancel_order,social
i need assistance cancelling purchase {{Order Number}},cancel_order,social
camceling order {{Order Number}},cancel_order,social
need assistance canceling order {{Order Number}},cancel_order,social
help me cancel purchase {{Order Number}},cancel_order,social
problems with cancelling purchase {{Order Number}},cancel_order,social
i need assistance with canceling purchase {{Order Number}},cancel_order,social
help me to cancel order  {{Order Number}},cancel_order,social
I can no longer afford order {{Order Number}},cancel_order,social
i do not know what to do to cancel order {{Order Number}},cancel_order,social
i no longer want order {{Order Number}},cancel_order,social
I want assistance canceling order {{Order Number}},cancel_order,social
problem with canceling purchase {{Order Number}},cancel_order,social
"I no longer want order {{Order Number}}, how do I cancel it?",cancel_order,social
I cannot afford purchase {{Order Number}},cancel_order,social
I don't want purchase {{Order Number}},cancel_order,social
"I purchased some items, I want to cancel order {{Order Number}}",cancel_order,social
question about cancelling purchase {{Order Number}},cancel_order,social
I have a question about canceling purchase {{Order Number}},cancel_order,social
need help to cancel purchase {{Order Number}},cancel_order,social
i do not know how i could casncel order {{Order Number}},cancel_order,social
need help with canceling purchase {{Order Number}},cancel_order,social
I can't afford order {{Order Number}},cancel_order,social
what do I ned to do to cancel order {{Order Number}}?,cancel_order,social
i dont want order {{Order Number}} could i cancel it,cancel_order,social
have a question about canceling order {{Order Number}},cancel_order,social
I cannot afford order {{Order Number}},cancel_order,social
I need help canceling purchase {{Order Number}},cancel_order,social
question about canceling purchase {{Order Number}},cancel_order,social
"I doln't want order {{Order Number}}, can you cancel it?",cancel_order,social
i bought something i wanna cancel order {{Order Number}},cancel_order,social
help me canceling purchase {{Order Number}},cancel_order,social
I want help to cancle purchase {{Order Number}},cancel_order,social
what do i need to do to cancel order {{Order Number}},cancel_order,social
I try to cancel purchase {{Order Number}},cancel_order,social
"I can no longer afford order {{Order Number}}, can I cancel it?",cancel_order,social
i want help to cancel purchase {{Order Number}},cancel_order,social
I need help cancelling purchase {{Order Number}},cancel_order,social
how to cancel purchase {{Order Number}}?,cancel_order,social
i bought somegoddamn item how do i cancel order {{Order Number}},cancel_order,social
"I bought some product, I want to cancel order {{Order Number}}",cancel_order,social
need assistance with canceling order {{Order Number}},cancel_order,social
i do not knwo how to cancel order {{Order Number}},cancel_order,social
"I have to cancel purchase {{Order Number}}, can I get some help?",cancel_order,social
is it possible to cancel purchase {{Order Number}}?,cancel_order,social
help cancelling order {{Order Number}},cancel_order,social
cancel order {{Order Number}},cancel_order,social
icannot afford order {{Order Number}} could i cancel it,cancel_order,social
need help cancelling purchase {{Order Number}},cancel_order,social
what do I need to do to cancel purchase {{Order Number}}?,cancel_order,social
i cannot pay for puchase {{Order Number}} how could i cancel it,cancel_order,social
I want help cancellkng purchase {{Order Number}},cancel_order,social
i need help with cancelling order {{Order Number}},cancel_order,social
I need help with cancelling order {{Order Number}},cancel_order,social
how can I cancel order {{Order Number}}?,cancel_order,social
I need assistance cancelling purchase {{Order Number}},cancel_order,social
i want assistance tocancel order {{Order Number}},cancel_order,social
"I purchased some articles, cancel order {{Order Number}}",cancel_order,social
i nee help to cancel order {{Order Number}},cancel_order,social
problem with cancelling order {{Order Number}},cancel_order,social
I don't know what to do to cancel order {{Order Number}},cancel_order,social
"I don't want this article, cancel order {{Order Number}}",cancel_order,social
I need help with canceling order {{Order Number}},cancel_order,social
want assistance cancelling order {{Order Number}},cancel_order,social
I need assistance cancelling purchase {{Order Number}},cancel_order,social
can uhelp me cancelliung order {{Order Number}},cancel_order,social
canceling order {{Order Number}},cancel_order,social
cancel order {{Order Number}},cancel_order,social
I can no longer pay for purchase {{Order Number}},cancel_order,social
canceling order {{Order Number}},cancel_order,social
can you help me to cancel purchase {{Order Number}}?,cancel_order,social
I need assistance cancelling purchase {{Order Number}},cancel_order,social
problems with cnceling purchase {{Order Number}},cancel_order,social
where could I cancel purchase {{Order Number}}?,cancel_order,social
canmcel order {{Order Number}},cancel_order,social
I want assistance cancelling purchase {{Order Number}},cancel_order,social
I do not know how to cancel purchase {{Order Number}},cancel_order,social
I would like to cancel purchase {{Order Number}},cancel_order,social
I do not know how to cancel order {{Order Number}},cancel_order,social
problems with cancelling order {{Order Number}},cancel_order,social
I need help with cancelling purchase {{Order Number}},cancel_order,social
i dont know how to cancel purchase {{Order Number}},cancel_order,social
help to cancel purchase {{Order Number}},cancel_order,social
i purchased something how to cancel order {{Order Number}},cancel_order,social
want asistance canceling order {{Order Number}},cancel_order,social
question about cancelling purchase {{Order Number}},cancel_order,social
is it possible to cancel order {{Order Number}},cancel_order,social
i cant afford order {{Order Number}},cancel_order,social
"I can no longer afford purchase {{Order Number}}, cancel it",cancel_order,social
I don't want purchase {{Order Number}},cancel_order,social
I have problems with canceling purchase {{Order Number}},cancel_order,social
i dont want order {{Order Number}},cancel_order,social
i want assistance canceling purchase {{Order Number}},cancel_order,social
i dont know how to cancel purchase {{Order Number}},cancel_order,social
is it possible to cancel order {{Order Number}}?,cancel_order,social
i do not know how to cancel order {{Order Number}},cancel_order,social
